sch,sch_dep,sch_par,sid,story_dep,story_par,text
"There once was a crow.  The crow was sitting on a branch of a tree.  Some cheese was in the beak of the crow.  
A fox observed the crow and tried to discover how to get the cheese.  
The fox came and stood under the tree.  
The fox looked toward the crow and said that he saw a noble bird who was above him.  
The fox said that the beauty of the bird was incomparable.  
The fox said that the hue of the plumage of the bird was exquisite.  
The fox said that -- if the sweetness of the voice of the bird is equal to the fairness of the appearance of the bird -- the bird would be undoubtedly the queen of every bird.  
The crow felt that the fox had flattered her and cawed loudly in order for she to show him that she was able to sing.  
The cheese fell.  
The fox snatched the cheese, said that the crow was able to sing and the fox said that the crow needed wits.  
","1	There	there	_	EX	_	3	expl	_	_
2	once	once	_	RB	_	3	advmod	_	_
3	was	be	_	VBD	_	0	root	_	_
4	a	a	_	DT	_	5	det	_	_
5	crow	crow	_	NN	_	3	nsubj	_	_
6	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	crow	crow	_	NN	_	4	nsubj	_	_
3	was	be	_	VBD	_	4	aux	_	_
4	sitting	sit	_	VBG	_	0	root	_	_
5	on	on	_	IN	_	7	case	_	_
6	a	a	_	DT	_	7	det	_	_
7	branch	branch	_	NN	_	4	nmod	_	_
8	of	of	_	IN	_	10	case	_	_
9	a	a	_	DT	_	10	det	_	_
10	tree	tree	_	NN	_	7	nmod	_	_
11	.	.	_	.	_	4	punct	_	_

1	Some	some	_	DT	_	2	det	_	_
2	cheese	cheese	_	NN	_	6	nsubj	_	_
3	was	be	_	VBD	_	6	cop	_	_
4	in	in	_	IN	_	6	case	_	_
5	the	the	_	DT	_	6	det	_	_
6	beak	beak	_	NN	_	0	root	_	_
7	of	of	_	IN	_	9	case	_	_
8	the	the	_	DT	_	9	det	_	_
9	crow	crow	_	NN	_	6	nmod	_	_
10	.	.	_	.	_	6	punct	_	_

1	A	a	_	DT	_	2	det	_	_
2	fox	fox	_	NN	_	3	nsubj	_	_
3	observed	observe	_	VBD	_	0	root	_	_
4	the	the	_	DT	_	5	det	_	_
5	crow	crow	_	NN	_	3	dobj	_	_
6	and	and	_	CC	_	3	cc	_	_
7	tried	try	_	VBD	_	3	conj	_	_
8	to	to	_	TO	_	9	mark	_	_
9	discover	discover	_	VB	_	7	xcomp	_	_
10	how	how	_	WRB	_	12	advmod	_	_
11	to	to	_	TO	_	12	mark	_	_
12	get	get	_	VB	_	9	ccomp	_	_
13	the	the	_	DT	_	14	det	_	_
14	cheese	cheese	_	NN	_	12	dobj	_	_
15	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	fox	fox	_	NN	_	3	nsubj	_	_
3	came	come	_	VBD	_	0	root	_	_
4	and	and	_	CC	_	3	cc	_	_
5	stood	stand	_	VBD	_	3	conj	_	_
6	under	under	_	IN	_	8	case	_	_
7	the	the	_	DT	_	8	det	_	_
8	tree	tree	_	NN	_	5	nmod	_	_
9	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	fox	fox	_	NN	_	3	nsubj	_	_
3	looked	look	_	VBD	_	0	root	_	_
4	toward	toward	_	IN	_	6	case	_	_
5	the	the	_	DT	_	6	det	_	_
6	crow	crow	_	NN	_	3	nmod	_	_
7	and	and	_	CC	_	3	cc	_	_
8	said	say	_	VBD	_	3	conj	_	_
