positive  	{'Negative Emotion': 0, 'Positive Emotion': 16.666666666666668, 'liwc:positive': 1, 'UNI_an': 0.05555555555555555, 'UNI_excellent': 0.05555555555555555, 'UNI_restaurant': 0.05555555555555555, 'UNI_the': 0.05555555555555555, 'UNI_food': 0.05555555555555555, 'UNI_wonderful': 0.05555555555555555, 'UNI_service': 0.05555555555555555, 'UNI_friendly': 0.05555555555555555, 'UNI_attentive': 0.05555555555555555, 'UNI_atmosphere': 0.05555555555555555, 'UNI_warm': 0.05555555555555555, 'UNI_homey': 0.05555555555555555, 'UNI_it': 0.05555555555555555, 'UNI_best': 0.05555555555555555, 'UNI_valentine': 0.05555555555555555, 'UNI_dinner': 0.05555555555555555, 'UNI_i': 0.05555555555555555, 'UNI_ever': 0.05555555555555555}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 0, 'liwc:negative': 1, 'UNI_what': 0.1111111111111111, 'UNI_suprise': 0.1111111111111111, 'UNI_small': 0.1111111111111111, 'UNI_town': 0.1111111111111111, 'UNI_the': 0.1111111111111111, 'UNI_food': 0.1111111111111111, 'UNI_service': 0.1111111111111111, 'UNI_top': 0.1111111111111111, 'UNI_notch': 0.1111111111111111}
positive  	{'Negative Emotion': 1.5384615384615385, 'Positive Emotion': 7.6923076923076925, 'liwc:positive': 1, 'UNI_without': 0.015384615384615385, 'UNI_doubt': 0.015384615384615385, 'UNI_one': 0.015384615384615385, 'UNI_pleasant': 0.015384615384615385, 'UNI_dining': 0.03076923076923077, 'UNI_experiences': 0.015384615384615385, 'UNI_i': 0.06153846153846154, 'UNI_saw': 0.015384615384615385, 'UNI_recipe': 0.015384615384615385, 'UNI_chef': 0.015384615384615385, 'UNI_version': 0.015384615384615385, 'UNI_jumbo': 0.015384615384615385, 'UNI_lump': 0.015384615384615385, 'UNI_crab': 0.03076923076923077, 'UNI_cakes': 0.015384615384615385, 'UNI_nj': 0.015384615384615385, 'UNI_monthly': 0.015384615384615385, 'UNI_mazazine': 0.015384615384615385, 'UNI_try': 0.015384615384615385, 'UNI_perfect': 0.015384615384615385, 'UNI_no': 0.015384615384615385, 'UNI_fillers': 0.015384615384615385, 'UNI_detract': 0.015384615384615385, 'UNI_baked': 0.015384615384615385, 'UNI_fried': 0.015384615384615385, 'UNI_my': 0.015384615384615385, 'UNI_partner': 0.015384615384615385, 'UNI_tried': 0.015384615384615385, 'UNI_scallop': 0.015384615384615385, 'UNI_cerviche': 0.015384615384615385, 'UNI_appitizer': 0.015384615384615385, 'UNI_pleased': 0.015384615384615385, 'UNI_the': 0.015384615384615385, 'UNI_restaurant': 0.046153846153846156, 'UNI_located': 0.015384615384615385, 'UNI_historic': 0.015384615384615385, 'UNI_district': 0.015384615384615385, 'UNI_phillipsburg': 0.015384615384615385, 'UNI_old': 0.015384615384615385, 'UNI_beautifully': 0.015384615384615385, 'UNI_restored': 0.015384615384615385, 'UNI_victorian': 0.03076923076923077, 'UNI_building': 0.015384615384615385, 'UNI_decor': 0.015384615384615385, 'UNI_rest': 0.015384615384615385, 'UNI_reflects': 0.015384615384615385, 'UNI_heritage': 0.015384615384615385, 'UNI_there': 0.015384615384615385, 'UNI_well': 0.015384615384615385, 'UNI_appointed': 0.015384615384615385, 'UNI_bar': 0.015384615384615385, 'UNI_entire': 0.015384615384615385, 'UNI_smoke': 0.015384615384615385, 'UNI_free': 0.015384615384615385, 'UNI_recommend': 0.015384615384615385, 'UNI_new': 0.015384615384615385, 'UNI_highly': 0.015384615384615385}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 0, 'liwc:negative': 1, 'UNI_the': 0.05128205128205128, 'UNI_room': 0.05128205128205128, 'UNI_little': 0.02564102564102564, 'UNI_dim': 0.02564102564102564, 'UNI_narrow': 0.02564102564102564, 'UNI_high': 0.02564102564102564, 'UNI_ceilings': 0.02564102564102564, 'UNI_plates': 0.02564102564102564, 'UNI_incongruous': 0.02564102564102564, 'UNI_english': 0.02564102564102564, 'UNI_heraldic': 0.02564102564102564, 'UNI_emblem': 0.02564102564102564, 'UNI_food': 0.02564102564102564, 'UNI_service': 0.02564102564102564, 'UNI_excellent': 0.02564102564102564, 'UNI_we': 0.02564102564102564, 'UNI_always': 0.02564102564102564, 'UNI_able': 0.02564102564102564, 'UNI_waltz': 0.02564102564102564, 'UNI_get': 0.02564102564102564, 'UNI_seat': 0.02564102564102564, 'UNI_although': 0.02564102564102564, 'UNI_dimness': 0.02564102564102564, 'UNI_initially': 0.02564102564102564, 'UNI_appealing': 0.02564102564102564, 'UNI_actually': 0.02564102564102564, 'UNI_contributes': 0.02564102564102564, 'UNI_relaxed': 0.02564102564102564, 'UNI_atmosphere': 0.02564102564102564, 'UNI_red': 0.02564102564102564, 'UNI_duck': 0.02564102564102564, 'UNI_curry': 0.02564102564102564, 'UNI_shrimp': 0.02564102564102564, 'UNI_koong': 0.02564102564102564, 'UNI_tod': 0.02564102564102564, 'UNI_appetizer': 0.02564102564102564, 'UNI_must': 0.02564102564102564}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 3.0303030303030303, 'liwc:positive': 1, 'UNI_this': 0.015151515151515152, 'UNI_restaurant': 0.015151515151515152, 'UNI_hidden': 0.015151515151515152, 'UNI_back': 0.015151515151515152, 'UNI_corner': 0.015151515151515152, 'UNI_restaurants': 0.015151515151515152, 'UNI_section': 0.015151515151515152, 'UNI_stratopshere': 0.015151515151515152, 'UNI_it': 0.015151515151515152, 'UNI_worth': 0.015151515151515152, 'UNI_trip': 0.015151515151515152, 'UNI_the': 0.09090909090909091, 'UNI_plates': 0.015151515151515152, 'UNI_around': 0.015151515151515152, 'UNI_15': 0.015151515151515152, 'UNI_per': 0.015151515151515152, 'UNI_person': 0.015151515151515152, 'UNI_food': 0.015151515151515152, 'UNI_little': 0.015151515151515152, 'UNI_salty': 0.015151515151515152, 'UNI_good': 0.015151515151515152, 'UNI_portions': 0.015151515151515152, 'UNI_large': 0.015151515151515152, 'UNI_would': 0.015151515151515152, 'UNI_fill': 0.015151515151515152, 'UNI_anyone': 0.015151515151515152, 'UNI_service': 0.015151515151515152, 'UNI_fantastic': 0.015151515151515152, 'UNI_man': 0.015151515151515152, 'UNI_table': 0.015151515151515152, 'UNI_every': 0.015151515151515152, 'UNI_second': 0.015151515151515152, 'UNI_needed': 0.015151515151515152, 'UNI_something': 0.015151515151515152, 'UNI_they': 0.030303030303030304, "UNI_n't": 0.015151515151515152, 'UNI_ask': 0.015151515151515152, 'UNI_got': 0.015151515151515152, 'UNI_dish': 0.015151515151515152, 'UNI_end': 0.015151515151515152, 'UNI_meal': 0.015151515151515152, 'UNI_waiter': 0.015151515151515152, 'UNI_even': 0.015151515151515152, 'UNI_came': 0.015151515151515152, 'UNI_crumb': 0.015151515151515152, 'UNI_catcher': 0.015151515151515152, 'UNI_clear': 0.015151515151515152, 'UNI_places': 0.015151515151515152, 'UNI_inside': 0.015151515151515152, 'UNI_beautiful': 0.015151515151515152, 'UNI_artwork': 0.015151515151515152, 'UNI_walls': 0.015151515151515152, 'UNI_paintings': 0.015151515151515152, 'UNI_frames': 0.015151515151515152, 'UNI_i': 0.015151515151515152, 'UNI_get': 0.015151515151515152, 'UNI_impression': 0.015151515151515152, 'UNI_hand': 0.015151515151515152, 'UNI_done': 0.015151515151515152, 'UNI_also': 0.015151515151515152}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 7.407407407407407, 'liwc:positive': 1, 'UNI_brazen': 0.07692307692307693, 'UNI_head': 0.07692307692307693, 'UNI_great': 0.038461538461538464, 'UNI_place': 0.038461538461538464, 'UNI_late-night': 0.038461538461538464, 'UNI_dining': 0.038461538461538464, 'UNI_we': 0.038461538461538464, 'UNI_frequently': 0.038461538461538464, "UNI_n't": 0.038461538461538464, 'UNI_arrive': 0.038461538461538464, 'UNI_city': 0.038461538461538464, 'UNI_many': 0.038461538461538464, 'UNI_places': 0.038461538461538464, 'UNI_closed': 0.038461538461538464, 'UNI_features': 0.038461538461538464, 'UNI_good': 0.038461538461538464, 'UNI_food': 0.038461538461538464, 'UNI_it': 0.038461538461538464, 'UNI_bit': 0.038461538461538464, 'UNI_crowded': 0.038461538461538464, 'UNI_weekend': 0.038461538461538464, 'UNI_nights': 0.038461538461538464, 'UNI_i': 0.038461538461538464, 'UNI_recommend': 0.038461538461538464}
positive  	{'Negative Emotion': 0.6493506493506493, 'Positive Emotion': 2.5974025974025974, 'liwc:positive': 1, 'UNI_this': 0.006493506493506494, 'UNI_neat': 0.006493506493506494, 'UNI_fondue': 0.012987012987012988, 'UNI_restaurant': 0.006493506493506494, 'UNI_it': 0.01948051948051948, 'UNI_opened': 0.006493506493506494, 'UNI_three': 0.012987012987012988, 'UNI_weeks': 0.006493506493506494, 'UNI_ago': 0.006493506493506494, 'UNI_lot': 0.012987012987012988, 'UNI_fun': 0.012987012987012988, 'UNI_the': 0.006493506493506494, 'UNI_four': 0.006493506493506494, 'UNI_us': 0.006493506493506494, 'UNI_tried': 0.006493506493506494, 'UNI_king': 0.006493506493506494, 'UNI_feast': 0.006493506493506494, 'UNI_starts': 0.006493506493506494, 'UNI_cheese': 0.012987012987012988, 'UNI_dip': 0.025974025974025976, 'UNI_made': 0.006493506493506494, 'UNI_beer': 0.006493506493506494, 'UNI_bread': 0.006493506493506494, 'UNI_carrots': 0.006493506493506494, 'UNI_coliflower': 0.006493506493506494, 'UNI_celery': 0.006493506493506494, 'UNI_granny': 0.006493506493506494, 'UNI_smith': 0.006493506493506494, 'UNI_apples': 0.006493506493506494, 'UNI_next': 0.006493506493506494, 'UNI_move': 0.006493506493506494, 'UNI_onto': 0.006493506493506494, 'UNI_choice': 0.01948051948051948, 'UNI_salads': 0.006493506493506494, 'UNI_mushrooms': 0.006493506493506494, 'UNI_many': 0.006493506493506494, 'UNI_ca': 0.006493506493506494, "UNI_n't": 0.006493506493506494, 'UNI_see': 0.006493506493506494, 'UNI_lettus': 0.006493506493506494, 'UNI_literally': 0.006493506493506494, 'UNI_chef': 0.006493506493506494, 'UNI_i': 0.05194805194805195, 'UNI_black': 0.006493506493506494, 'UNI_rasperry': 0.006493506493506494, 'UNI_vinegret': 0.006493506493506494, 'UNI_totally': 0.006493506493506494, 'UNI_yummy': 0.006493506493506494, 'UNI_third': 0.006493506493506494, 'UNI_shrimp': 0.006493506493506494, 'UNI_chicken': 0.006493506493506494, 'UNI_terioki': 0.012987012987012988, 'UNI_meat': 0.012987012987012988, 'UNI_filet': 0.006493506493506494, 'UNI_pot': 0.006493506493506494, 'UNI_stickers': 0.006493506493506494, 'UNI_potatoes': 0.006493506493506494, 'UNI_broccoli': 0.006493506493506494, 'UNI_summer': 0.006493506493506494, 'UNI_squash': 0.006493506493506494, 'UNI_think': 0.012987012987012988, 'UNI_one': 0.006493506493506494, 'UNI_two': 0.006493506493506494, 'UNI_choices': 0.006493506493506494, 'UNI_you': 0.006493506493506494, 'UNI_oil': 0.006493506493506494, 'UNI_liquid': 0.006493506493506494, 'UNI_choose': 0.006493506493506494, 'UNI_favorite': 0.006493506493506494, 'UNI_7': 0.006493506493506494, 'UNI_different': 0.006493506493506494, 'UNI_sauces': 0.006493506493506494, 'UNI_flavor': 0.006493506493506494, 'UNI_they': 0.006493506493506494, 'UNI_horseradish': 0.006493506493506494, 'UNI_lemon': 0.006493506493506494, 'UNI_sauce': 0.01948051948051948, 'UNI_mustard': 0.006493506493506494, 'UNI_blue': 0.006493506493506494, 'UNI_spinich': 0.006493506493506494, 'UNI_plum': 0.006493506493506494, 'UNI_for': 0.006493506493506494, 'UNI_dessert': 0.006493506493506494, 'UNI_bring': 0.006493506493506494, 'UNI_chocolate': 0.012987012987012988, 'UNI_addative': 0.006493506493506494, 'UNI_amaretto': 0.006493506493506494, 'UNI_get': 0.006493506493506494, 'UNI_bananas': 0.006493506493506494, 'UNI_marshmellows': 0.006493506493506494, 'UNI_nuts': 0.006493506493506494, 'UNI_strawberries': 0.006493506493506494, 'UNI_pineapple': 0.006493506493506494, 'UNI_yuk': 0.006493506493506494, 'UNI_cheesecake': 0.006493506493506494, 'UNI_pound': 0.006493506493506494, 'UNI_cake': 0.006493506493506494, 'UNI_hungry': 0.006493506493506494, 'UNI_went': 0.006493506493506494, 'UNI_food': 0.006493506493506494, 'UNI_surprisingly': 0.006493506493506494, 'UNI_filling': 0.006493506493506494, 'UNI_thought': 0.006493506493506494, 'UNI_going': 0.006493506493506494, 'UNI_stop': 0.006493506493506494, 'UNI_something': 0.006493506493506494, 'UNI_way': 0.006493506493506494, 'UNI_home': 0.006493506493506494, 'UNI_price': 0.006493506493506494, 'UNI_40': 0.006493506493506494, 'UNI_bucks': 0.006493506493506494, 'UNI_kind': 0.006493506493506494, 'UNI_steap': 0.006493506493506494, 'UNI_consider': 0.006493506493506494, 'UNI_getting': 0.006493506493506494, 'UNI_4': 0.006493506493506494, 'UNI_courses': 0.006493506493506494, 'UNI_bad': 0.006493506493506494, 'UNI_our': 0.006493506493506494, 'UNI_bus': 0.006493506493506494, 'UNI_boy': 0.006493506493506494, 'UNI_attentive': 0.006493506493506494, 'UNI_drinks': 0.006493506493506494, 'UNI_waiter': 0.006493506493506494, 'UNI_came': 0.006493506493506494, 'UNI_absolutely': 0.006493506493506494, 'UNI_necessary': 0.006493506493506494, 'UNI_go': 0.006493506493506494, 'UNI_back': 0.006493506493506494}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 14.285714285714286, 'liwc:positive': 1, 'UNI_sometimes': 0.07142857142857142, 'UNI_worth': 0.07142857142857142, 'UNI_trying': 0.07142857142857142, 'UNI_new': 0.07142857142857142, 'UNI_place': 0.07142857142857142, 'UNI_we': 0.07142857142857142, 'UNI_glad': 0.07142857142857142, 'UNI_it': 0.07142857142857142, 'UNI_great': 0.14285714285714285, 'UNI_night': 0.07142857142857142, 'UNI_city': 0.07142857142857142, 'UNI_food': 0.07142857142857142, 'UNI_excellent': 0.07142857142857142}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 12.5, 'liwc:positive': 1, 'UNI_wow': 0.017857142857142856, 'UNI_simply': 0.017857142857142856, 'UNI_magnific': 0.017857142857142856, 'UNI_this': 0.017857142857142856, 'UNI_place': 0.05357142857142857, 'UNI_modern': 0.03571428571428571, 'UNI_fun': 0.017857142857142856, 'UNI_artfull': 0.017857142857142856, 'UNI_gives': 0.017857142857142856, 'UNI_relaxing': 0.03571428571428571, 'UNI_young': 0.017857142857142856, 'UNI_feeling': 0.017857142857142856, 'UNI_itali': 0.017857142857142856, 'UNI_dinner': 0.017857142857142856, 'UNI_laid': 0.017857142857142856, 'UNI_back': 0.017857142857142856, 'UNI_bistro': 0.017857142857142856, 'UNI_the': 0.017857142857142856, 'UNI_food': 0.017857142857142856, 'UNI_perfect': 0.03571428571428571, 'UNI_overflowing': 0.017857142857142856, 'UNI_sangria': 0.017857142857142856, 'UNI_die': 0.017857142857142856, 'UNI_ambiant': 0.017857142857142856, 'UNI_music': 0.017857142857142856, 'UNI_playing': 0.017857142857142856, 'UNI_transported': 0.017857142857142856, 'UNI_us': 0.017857142857142856, 'UNI_another': 0.017857142857142856, 'UNI_we': 0.017857142857142856, 'UNI_enjoyed': 0.017857142857142856, 'UNI_dinning': 0.017857142857142856, 'UNI_frequently': 0.017857142857142856, 'UNI_future': 0.017857142857142856, 'UNI_its': 0.017857142857142856, 'UNI_time': 0.017857142857142856, 'UNI_cool': 0.017857142857142856, 'UNI_new': 0.017857142857142856, 'UNI_restaurant': 0.017857142857142856, 'UNI_block': 0.017857142857142856, 'UNI_especially': 0.017857142857142856, 'UNI_since': 0.017857142857142856, 'UNI_restaurants': 0.017857142857142856, 'UNI_make': 0.017857142857142856, 'UNI_feel': 0.017857142857142856, 'UNI_must': 0.017857142857142856, 'UNI_70': 0.017857142857142856, 'UNI_go': 0.017857142857142856, 'UNI_good': 0.017857142857142856, 'UNI_job': 0.017857142857142856, 'UNI_vita..': 0.017857142857142856}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 12.5, 'liwc:positive': 1, 'UNI_the': 0.125, 'UNI_food': 0.125, 'UNI_ample': 0.0625, 'UNI_well': 0.0625, 'UNI_seasoned': 0.0625, 'UNI_hot': 0.0625, 'UNI_price': 0.0625, 'UNI_reasonable': 0.0625, 'UNI_amount': 0.0625, 'UNI_get': 0.0625, 'UNI_great': 0.0625, 'UNI_fish': 0.0625, 'UNI_highly': 0.0625, 'UNI_recommend': 0.0625}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 0, 'liwc:negative': 1, 'UNI_we': 0.06451612903225806, 'UNI_pleasure': 0.03225806451612903, 'UNI_eating': 0.03225806451612903, 'UNI_number': 0.03225806451612903, 'UNI_occasions': 0.03225806451612903, 'UNI_continues': 0.03225806451612903, 'UNI_equisite': 0.03225806451612903, 'UNI_experience': 0.03225806451612903, 'UNI_the': 0.03225806451612903, 'UNI_food': 0.03225806451612903, 'UNI_continually': 0.03225806451612903, 'UNI_par': 0.03225806451612903, 'UNI_atmosphere': 0.03225806451612903, 'UNI_attention': 0.03225806451612903, 'UNI_staff': 0.03225806451612903, 'UNI_next': 0.03225806451612903, 'UNI_none': 0.03225806451612903, 'UNI_last': 0.03225806451612903, 'UNI_business': 0.03225806451612903, 'UNI_meeting': 0.03225806451612903, 'UNI_i': 0.03225806451612903, 'UNI_would': 0.03225806451612903, 'UNI_recommend': 0.03225806451612903, 'UNI_wine': 0.03225806451612903, 'UNI_room': 0.03225806451612903, 'UNI_small': 0.03225806451612903, 'UNI_gathering': 0.03225806451612903, 'UNI_it': 0.03225806451612903, 'UNI_must': 0.03225806451612903, 'UNI_go': 0.03225806451612903}
